year,video_count,total_views,avg_views,total_likes,avg_likes,total_comments,avg_comments,unique_channels,file_path
2006,10,7314963,731496.3,39012,3901.2,1476,147.6,1,datasets_by_year/youtube_videos_2006.csv
2007,11,6069523362,551774851.0909091,15218612,1383510.1818181819,170954,15541.272727272728,3,datasets_by_year/youtube_videos_2007.csv
2008,15,88404352,5893623.466666667,1787828,119188.53333333334,60546,4036.4,6,datasets_by_year/youtube_videos_2008.csv
2009,103,4241199828,41176697.3592233,27039797,262522.3009708738,1087953,10562.650485436894,28,datasets_by_year/youtube_videos_2009.csv
2010,40,1553170157,38829253.925,10920198,273004.95,429393,10734.825,24,datasets_by_year/youtube_videos_2010.csv
2011,108,4834045257,44759678.30555555,27493957,254573.67592592593,1035169,9584.898148148148,41,datasets_by_year/youtube_videos_2011.csv
2012,201,1739634828,8654899.641791046,7456287,37095.9552238806,303230,1508.6069651741293,57,datasets_by_year/youtube_videos_2012.csv
2013,330,2110964885,6396863.287878788,13682879,41463.2696969697,578846,1754.0787878787878,97,datasets_by_year/youtube_videos_2013.csv
2014,579,7907482577,13657137.438687392,45855660,79198.0310880829,1885312,3256.1519861830743,164,datasets_by_year/youtube_videos_2014.csv
2015,804,8276797784,10294524.606965175,60277841,74972.43905472636,2662443,3311.4962686567164,220,datasets_by_year/youtube_videos_2015.csv
2016,1236,5585837342,4519285.875404531,45527668,36834.68284789644,2500097,2022.732200647249,326,datasets_by_year/youtube_videos_2016.csv
2017,2087,9659018809,4628183.425491136,83461879,39991.31720172497,3789806,1815.910876856732,565,datasets_by_year/youtube_videos_2017.csv
2018,2557,17219585276,6734292.247164646,122872111,48053.23073914744,4723461,1847.2667188111068,643,datasets_by_year/youtube_videos_2018.csv
2019,3020,10565729261,3498585.848013245,117767143,38995.74271523179,5643894,1868.839072847682,785,datasets_by_year/youtube_videos_2019.csv
2020,3957,8671736564,2191492.6873894366,184033744,46508.401314126866,11054570,2793.6745008845087,1012,datasets_by_year/youtube_videos_2020.csv
2021,4410,9996891963,2266868.92585034,194547307,44115.03560090703,8900261,2018.1997732426303,1170,datasets_by_year/youtube_videos_2021.csv
2022,5171,11726027688,2267651.8445175015,242202417,46838.603171533556,7877465,1523.392960742603,1426,datasets_by_year/youtube_videos_2022.csv
2023,8412,15724883362,1869339.4391345696,280307267,33322.30943889682,11053359,1313.9989300998573,2001,datasets_by_year/youtube_videos_2023.csv
2024,12833,18091582743,1409770.3376451337,362037787,28211.469414789994,15177241,1182.67287462012,2931,datasets_by_year/youtube_videos_2024.csv
2025,109785,58523295579,533071.8730154393,1264342930,11516.536229903902,49124734,447.46307783394815,12545,datasets_by_year/youtube_videos_2025.csv
