video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year
518Q9M7grSI,En Gammel Dame (An Old Lady),Lasse Gjertsen,UCz_gUjScjyhPg58hvdk4LDA,225340,2376,467,2008-12-12 07:35:40+00:00,https://i.ytimg.com/vi/518Q9M7grSI/hqdefault.jpg,2008
6BkJLbhGcnA,Kingdom Hearts: Hikari (Orchestra Version) + Disney Classics,Jefflau,UCg_yF92ZIC2KXV4x1ho7egw,165518,1707,280,2008-02-27 05:10:52+00:00,https://i.ytimg.com/vi/6BkJLbhGcnA/hqdefault.jpg,2008
96zT2l8QKb8,Did You Know Reading Crisis,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,20462,48,6,2008-09-25 00:41:13+00:00,https://i.ytimg.com/vi/96zT2l8QKb8/hqdefault.jpg,2008
Gv4evDGLgjQ,Vocal Folds Revealed,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,57813574,37985,626,2008-09-21 17:52:53+00:00,https://i.ytimg.com/vi/Gv4evDGLgjQ/hqdefault.jpg,2008
VC4ekS7OMlo,True Wannabe...,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,21069948,1463579,43665,2008-01-12 07:03:48+00:00,https://i.ytimg.com/vi/VC4ekS7OMlo/hqdefault.jpg,2008
1_9VJqz0qqY,Oreo Moments Rap!,Dan Brown,UCkSj-DR2aS3_wPmAE7d7Qlg,112007,2174,499,2008-06-18 06:51:45+00:00,https://i.ytimg.com/vi/1_9VJqz0qqY/hqdefault.jpg,2008
F1zLdoXMj5w,Chronic Cough,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,44702,185,24,2008-09-21 14:58:49+00:00,https://i.ytimg.com/vi/F1zLdoXMj5w/hqdefault.jpg,2008
3h8MclMHYIQ,My Super Sweet Tag Video,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,1138931,48514,1667,2008-01-22 00:40:22+00:00,https://i.ytimg.com/vi/3h8MclMHYIQ/hqdefault.jpg,2008
ixZeEx0DDe0,Dear Katie: A Response to a YouTube Rejection,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,2622761,104292,4334,2008-04-18 06:07:03+00:00,https://i.ytimg.com/vi/ixZeEx0DDe0/hqdefault.jpg,2008
se3dUupH2u4,A Special Shout-Out,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,610793,21863,1370,2008-01-03 09:07:26+00:00,https://i.ytimg.com/vi/se3dUupH2u4/hqdefault.jpg,2008
Ly7lnPcZMp8,The Twilight Movie Sucked!?,BuckHollywood,UCzDIsPJjO0K5P00jG8JjlRg,1033856,23045,6997,2008-11-28 22:56:26+00:00,https://i.ytimg.com/vi/Ly7lnPcZMp8/hqdefault.jpg,2008
IGzdzRFftBc,Roshambo,Lasse Gjertsen,UCz_gUjScjyhPg58hvdk4LDA,358101,2882,579,2008-06-25 22:49:05+00:00,https://i.ytimg.com/vi/IGzdzRFftBc/hqdefault.jpg,2008
WXk-UyqeNAk,How to Prepare for the SAT in 45 seconds,moviekidd826,UCKPo9yzmhTqn_I6PX9BbR1w,1711746,78325,0,2008-10-04 19:46:12+00:00,https://i.ytimg.com/vi/WXk-UyqeNAk/hqdefault.jpg,2008
qpt0kigakWY,Vocal Folds and Cough,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,1469937,840,32,2008-09-24 20:50:26+00:00,https://i.ytimg.com/vi/qpt0kigakWY/hqdefault.jpg,2008
8XZ7SeNQfAM,Book Sharing and Early Literacy,speechme9349,UCXMksQAnCSAWG06GX2GDMmg,6676,13,0,2008-09-24 13:32:39+00:00,https://i.ytimg.com/vi/8XZ7SeNQfAM/hqdefault.jpg,2008
